experiment_dir,experiment_name,dataset,mode,scheduler,scheduler_ablation,seed,partition_seed,arch_seed,split_protocol,rounds,participation_rate,noise_multiplier,dp_enabled,summary_mode,transfer_package_mode,accounting_releases_per_round,profile_csv,final_accuracy,final_macro_f1,uplink_mb,downlink_mb,time_s,energy_j,epsilon_max,epsilon_mean,num_selected_clients
outputs/palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed44_indsplit_trace_20260419_192451,palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed44_indsplit_trace_20260419_192451,mnist,PALM-transfer,random,no_deficit,44,44,44,independent,15,0.4,0.5,true,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.5175,0.39448113143444063,0.01483917236328125,0.01499176025390625,10.549374023008719,6.810024294853211,103.8677440880733,76.38420173984602,4
outputs/palmfl_v8_mnist_stats_transfer_random_sigma05_20260417_151954,palmfl_v8_mnist_stats_transfer_random_sigma05_20260417_151954,mnist,PALM-transfer,random,,42,42,42,independent,15,0.4,0.5,true,full,full,0,,0.57783,0.46931674480438235,0.01483917236328125,0.01499176025390625,11.709684098704457,9.669153936487504,95.015760009536,76.04376034443574,4
outputs/palmfl_v8_mnist_stats_transfer_random_sigma05_seed42_indsplit_trace_20260419_001348,palmfl_v8_mnist_stats_transfer_random_sigma05_seed42_indsplit_trace_20260419_001348,mnist,PALM-transfer,random,,42,42,42,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.5701562499999999,0.45952827036380767,0.01483917236328125,0.01499176025390625,24.051599008065683,5.813370676040649,95.015760009536,76.04376034443574,4
outputs/palmfl_v8_mnist_stats_transfer_random_sigma05_seed43_fixedsplit_cuda_20260418_182510,palmfl_v8_mnist_stats_transfer_random_sigma05_seed43_fixedsplit_cuda_20260418_182510,mnist,PALM-transfer,random,,43,42,42,fixed,15,0.4,0.5,true,full,full,0,,0.55140625,0.44369132071733475,0.01483917236328125,0.01499176025390625,42.635735522701665,11.562943017817547,103.8677440880733,75.64042888808177,4
outputs/palmfl_v8_mnist_stats_transfer_random_sigma05_seed43_indsplit_trace_20260419_003749,palmfl_v8_mnist_stats_transfer_random_sigma05_seed43_indsplit_trace_20260419_003749,mnist,PALM-transfer,random,,43,43,43,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.59578125,0.48354696333408353,0.01483917236328125,0.01499176025390625,35.221206418423314,8.001147473335266,103.8677440880733,75.64042888808177,4
outputs/palmfl_v8_mnist_stats_transfer_random_sigma05_seed44_fixedsplit_cuda_20260418_183004,palmfl_v8_mnist_stats_transfer_random_sigma05_seed44_fixedsplit_cuda_20260418_183004,mnist,PALM-transfer,random,,44,42,42,fixed,15,0.4,0.5,true,full,full,0,,0.5726562500000001,0.4649896413087845,0.01483917236328125,0.01499176025390625,18.18351258530476,9.021633623163494,103.8677440880733,76.38420173984602,4
outputs/palmfl_v8_mnist_stats_transfer_random_sigma05_seed44_indsplit_trace_20260419_010425,palmfl_v8_mnist_stats_transfer_random_sigma05_seed44_indsplit_trace_20260419_010425,mnist,PALM-transfer,random,,44,44,44,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.5175,0.39448113143444063,0.01483917236328125,0.01499176025390625,10.549374023008719,6.810024294853211,103.8677440880733,76.38420173984602,4
outputs/palmfl_v8_mnist_stats_upload_only_20260417_141906,palmfl_v8_mnist_stats_upload_only_20260417_141906,mnist,Stats-only,mobile,,42,42,42,independent,15,0.4,0.5,true,full,full,0,,0.50099,0.4051581844687462,0.01483917236328125,0.0,11.463062559185017,9.813748537789113,146.196004342964,89.56652413824627,4
outputs/palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed42_indsplit_trace_20260419_171717,palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed42_indsplit_trace_20260419_171717,mnist,Stats-only,mobile,no_deficit,42,42,42,independent,15,0.4,0.5,true,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.53734375,0.44244722593575714,0.01483917236328125,0.0,22.942770788398448,5.118115802764892,146.196004342964,81.70868122332254,4
outputs/palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed43_indsplit_trace_20260419_184621,palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed43_indsplit_trace_20260419_184621,mnist,Stats-only,mobile,no_deficit,43,43,43,independent,15,0.4,0.5,true,full,full,3,data/mobilebandwidth/real_mobile_profiles.csv,0.53,0.4210119364783168,0.01483917236328125,0.0,15.466542502838921,5.715352203845978,137.93356943375483,81.12793770966327,4
