experiment_dir,dataset,mode,scheduler,scheduler_ablation,split_protocol,seed,partition_seed,arch_seed,noise_multiplier,dp_enabled,rounds,client_id,arch_name,num_samples,unique_labels,accuracy,macro_f1,loss
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,7,small_cnn,5698,10,0.4697,0.3597998023033142,1.9121050773620605
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,8,tiny_mobilenet,6896,6,0.5922,0.4773522913455963,1.642297488594055
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,independent,44,44,44,0.0,false,15,9,wide_cnn,6052,9,0.4791,0.3426266312599182,1.867046222114563
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,0,tiny_resnet,5882,7,0.3046875,0.20055034756660461,3.0069965362548827
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,1,tiny_resnet,6788,6,0.215625,0.15476401150226593,3.5061807155609133
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,2,small_cnn,538,8,0.11875,0.021229049190878868,2.3061081886291506
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,3,small_cnn,3117,9,0.365625,0.2392619550228119,2.4810405731201173
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,4,small_cnn,5373,7,0.2953125,0.15982182323932648,3.2745921134948732
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,5,wide_cnn,6027,7,0.2328125,0.10150785744190216,3.0042930603027345
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,6,wide_cnn,5030,5,0.0953125,0.017403708770871162,2.306841421127319
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,7,wide_cnn,5354,4,0.084375,0.015561958774924278,2.3071154594421386
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,8,tiny_mobilenet,6807,9,0.45,0.3565201163291931,1.9458529710769654
outputs/fedproto_cifar10_mobile_sigma05_seed42_fixedsplit_cuda_20260418_223915,cifar10,FedProto-style,mobile,,fixed,42,42,42,0.5,true,20,9,tiny_mobilenet,5084,9,0.253125,0.15940549969673157,3.182470512390137
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,0,tiny_resnet,5882,7,0.078125,0.014492752961814404,2.307256555557251
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,1,tiny_resnet,6788,6,0.2703125,0.17250749468803406,3.251077175140381
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,2,small_cnn,538,8,0.078125,0.014492752961814404,2.3153920650482176
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,3,small_cnn,3117,9,0.415625,0.3008539080619812,2.419360113143921
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,4,small_cnn,5373,7,0.2859375,0.1370716691017151,3.2792827129364013
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,5,wide_cnn,6027,7,0.315625,0.19643430411815643,2.8649945735931395
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,6,wide_cnn,5030,5,0.10625,0.019209038466215134,2.3065632820129394
outputs/fedproto_cifar10_mobile_sigma05_seed43_fixedsplit_cuda_20260418_230444,cifar10,FedProto-style,mobile,,fixed,43,42,42,0.5,true,20,7,wide_cnn,5354,4,0.103125,0.01869688369333744,2.3063331604003907
